	Similarity Measure, Method, k, MAE, MAE_NA, %NA
Cosine Similarity,    kNN, 30, 0.7440172, 0.7149088, 0.0391233
Pearson Correlation - PWC,    kNN, 30,  0.743789, 0.7143206, 0.0396192
Pearson Correlation - IZ,    kNN, 30, 0.7426445, 0.7135898, 0.0391233
LiRa - Uniform,    kNN, 30, 0.7526519, 0.7138754, 0.0515198
LiRa - Gaussian,    kNN, 30, 0.7427334,  0.713491, 0.0393713
LiRa - LogGaussian,    kNN, 30, 0.7427334,  0.713491, 0.0393713
Cosine Similarity, NN-RST, 40, 0.7417709, 0.7127136, 0.0391729
Pearson Correlation - PWC, NN-RST, 40, 1.1352021, 1.0902263, 0.0396192
Pearson Correlation - IZ, NN-RST, 40, 1.3784208, 1.3244924, 0.0391233
LiRa - Uniform, NN-RST, 40, 0.7541603, 0.7152687, 0.0515694
LiRa - Gaussian, NN-RST, 40, 0.7418067, 0.7126008, 0.0393713
LiRa - LogGaussian, NN-RST, 40, 1.1733094, 1.1271147, 0.0393713
Cosine Similarity,    kNN, 40, 0.7445175, 0.7153895, 0.0391233
Pearson Correlation - PWC,    kNN, 40,  0.744423, 0.7149295, 0.0396192
Pearson Correlation - IZ,    kNN, 40, 0.7439253, 0.7148205, 0.0391233
LiRa - Uniform,    kNN, 40, 0.7513547,  0.712645, 0.0515198
LiRa - Gaussian,    kNN, 40, 0.7438971, 0.7146089, 0.0393713
LiRa - LogGaussian,    kNN, 40, 0.7438971, 0.7146089, 0.0393713
Cosine Similarity, NN-RST, 50, 0.7416834, 0.7126295, 0.0391729
Pearson Correlation - PWC, NN-RST, 50, 1.1902317, 1.1430757, 0.0396192
Pearson Correlation - IZ, NN-RST, 50, 1.3791177,  1.325162, 0.0391233
LiRa - Uniform, NN-RST, 50, 0.7537672, 0.7148959, 0.0515694
LiRa - Gaussian, NN-RST, 50, 0.7412746, 0.7120897, 0.0393713
LiRa - LogGaussian, NN-RST, 50, 1.2182106, 1.1702481, 0.0393713
Cosine Similarity,    kNN, 50, 0.7450004, 0.7158535, 0.0391233
Pearson Correlation - PWC,    kNN, 50, 0.7451591, 0.7156365, 0.0396192
Pearson Correlation - IZ,    kNN, 50, 0.7448869, 0.7157444, 0.0391233
LiRa - Uniform,    kNN, 50, 0.7511734, 0.7124731, 0.0515198
LiRa - Gaussian,    kNN, 50, 0.7443031,  0.714999, 0.0393713
LiRa - LogGaussian,    kNN, 50, 0.7443031,  0.714999, 0.0393713
Cosine Similarity, NN-RST, 60, 0.7419389,  0.712875, 0.0391729
Pearson Correlation - PWC, NN-RST, 60, 1.2372485, 1.1882297, 0.0396192
Pearson Correlation - IZ, NN-RST, 60,  1.379656, 1.3256793, 0.0391233
LiRa - Uniform, NN-RST, 60, 0.7536621, 0.7147962, 0.0515694
LiRa - Gaussian, NN-RST, 60, 0.7411257, 0.7119466, 0.0393713
LiRa - LogGaussian, NN-RST, 60, 1.2520623, 1.2027671, 0.0393713
Cosine Similarity,    kNN, 60,  0.745731, 0.7165556, 0.0391233
Pearson Correlation - PWC,    kNN, 60, 0.7456781,  0.716135, 0.0396192
Pearson Correlation - IZ,    kNN, 60, 0.7454326, 0.7162688, 0.0391233
LiRa - Uniform,    kNN, 60, 0.7513074, 0.7126002, 0.0515198
LiRa - Gaussian,    kNN, 60, 0.7450255, 0.7156929, 0.0393713
LiRa - LogGaussian,    kNN, 60, 0.7450255, 0.7156929, 0.0393713
Cosine Similarity, NN-RST, 80, 0.7423558, 0.7132756, 0.0391729
Pearson Correlation - PWC, NN-RST, 80, 1.3115875, 1.2596235, 0.0396192
Pearson Correlation - IZ, NN-RST, 80, 1.3805511, 1.3265394, 0.0391233
LiRa - Uniform, NN-RST, 80, 0.7534836, 0.7146269, 0.0515694
LiRa - Gaussian, NN-RST, 80,  0.741208, 0.7120258, 0.0393713
LiRa - LogGaussian, NN-RST, 80, 1.3072886,  1.255819, 0.0393713
Cosine Similarity,    kNN, 80, 0.7467238, 0.7175095, 0.0391233
Pearson Correlation - PWC,    kNN, 80, 0.7467715,  0.717185, 0.0396192
Pearson Correlation - IZ,    kNN, 80, 0.7465464,  0.717339, 0.0391233
LiRa - Uniform,    kNN, 80,  0.751219, 0.7125164, 0.0515198
LiRa - Gaussian,    kNN, 80, 0.7461766, 0.7167987, 0.0393713
LiRa - LogGaussian,    kNN, 80, 0.7461766, 0.7167987, 0.0393713
Cosine Similarity, NN-RST, 160, 0.7426655, 0.7135731, 0.0391729
Pearson Correlation - PWC, NN-RST, 160, 1.4663294, 1.4082346, 0.0396192
Pearson Correlation - IZ, NN-RST, 160, 1.3812877, 1.3272471, 0.0391233
LiRa - Uniform, NN-RST, 160, 0.7534135, 0.7145604, 0.0515694
LiRa - Gaussian, NN-RST, 160, 0.7413912, 0.7122017, 0.0393713
LiRa - LogGaussian, NN-RST, 160, 1.3978203, 1.3427864, 0.0393713
Cosine Similarity,    kNN, 160, 0.7474034, 0.7181625, 0.0391233
Pearson Correlation - PWC,    kNN, 160,  0.748089, 0.7184503, 0.0396192
Pearson Correlation - IZ,    kNN, 160, 0.7474315, 0.7181895, 0.0391233
LiRa - Uniform,    kNN, 160, 0.7509441, 0.7122556, 0.0515198
LiRa - Gaussian,    kNN, 160, 0.7475035, 0.7180733, 0.0393713
LiRa - LogGaussian,    kNN, 160, 0.7475035, 0.7180733, 0.0393713
Cosine Similarity, NN-RST, 3, 0.8011504, 0.7673835, 0.0421481
Pearson Correlation - PWC, NN-RST, 3, 0.8868981, 0.8490333, 0.0426935
Pearson Correlation - IZ, NN-RST, 3, 1.2959589,  1.241401, 0.0420985
LiRa - Uniform, NN-RST, 3, 0.8121304,  0.769605, 0.0523628
LiRa - Gaussian, NN-RST, 3, 0.8116169, 0.7772076, 0.0423960
LiRa - LogGaussian, NN-RST, 3, 0.8923914, 0.8545576, 0.0423960
Cosine Similarity,    kNN, 3, 0.8008636, 0.7671485, 0.0420985
Pearson Correlation - PWC,    kNN, 3, 0.8186236, 0.7837143, 0.0426439
Pearson Correlation - IZ,    kNN, 3, 0.8012173, 0.7674873, 0.0420985
LiRa - Uniform,    kNN, 3, 0.8116149, 0.7691567, 0.0523132
LiRa - Gaussian,    kNN, 3, 0.8015094, 0.7675286, 0.0423960
LiRa - LogGaussian,    kNN, 3, 0.8015094, 0.7675286, 0.0423960
Cosine Similarity, NN-RST, 5, 0.7711377, 0.7386357, 0.0421481
Pearson Correlation - PWC, NN-RST, 5, 0.8733899, 0.8361018, 0.0426935
Pearson Correlation - IZ, NN-RST, 5, 1.3398464, 1.2834409, 0.0420985
LiRa - Uniform, NN-RST, 5,  0.787257,  0.746034, 0.0523628
LiRa - Gaussian, NN-RST, 5, 0.7792976, 0.7462585, 0.0423960
LiRa - LogGaussian, NN-RST, 5, 0.8948085, 0.8568722, 0.0423960
Cosine Similarity,    kNN, 5, 0.7718686, 0.7393741, 0.0420985
Pearson Correlation - PWC,    kNN, 5, 0.7811368, 0.7478261, 0.0426439
Pearson Correlation - IZ,    kNN, 5, 0.7729816, 0.7404402, 0.0420985
LiRa - Uniform,    kNN, 5, 0.7867413, 0.7455844, 0.0523132
LiRa - Gaussian,    kNN, 5, 0.7707652, 0.7380878, 0.0423960
LiRa - LogGaussian,    kNN, 5, 0.7707652, 0.7380878, 0.0423960
Cosine Similarity, NN-RST, 7,  0.757661, 0.7257271, 0.0421481
Pearson Correlation - PWC, NN-RST, 7, 0.8788466, 0.8413255, 0.0426935
Pearson Correlation - IZ, NN-RST, 7, 1.3638966, 1.3064787, 0.0420985
LiRa - Uniform, NN-RST, 7, 0.7767632, 0.7360897, 0.0523628
LiRa - Gaussian, NN-RST, 7, 0.7641494, 0.7317525, 0.0423960
LiRa - LogGaussian, NN-RST, 7,  0.906605, 0.8681686, 0.0423960
Cosine Similarity,    kNN, 7, 0.7586415, 0.7267039, 0.0420985
Pearson Correlation - PWC,    kNN, 7, 0.7648586,  0.732242, 0.0426439
Pearson Correlation - IZ,    kNN, 7, 0.7602241, 0.7282198, 0.0420985
LiRa - Uniform,    kNN, 7, 0.7764951, 0.7358741, 0.0523132
LiRa - Gaussian,    kNN, 7, 0.7568772, 0.7247886, 0.0423960
LiRa - LogGaussian,    kNN, 7, 0.7568772, 0.7247886, 0.0423960
Cosine Similarity, NN-RST, 10, 0.7497593, 0.7181584, 0.0421481
Pearson Correlation - PWC, NN-RST, 10, 0.8993395, 0.8609436, 0.0426935
Pearson Correlation - IZ, NN-RST, 10, 1.3804609, 1.3223456, 0.0420985
LiRa - Uniform, NN-RST, 10, 0.7691704, 0.7288945, 0.0523628
LiRa - Gaussian, NN-RST, 10, 0.7537092,  0.721755, 0.0423960
LiRa - LogGaussian, NN-RST, 10, 0.9325425, 0.8930065, 0.0423960
Cosine Similarity,    kNN, 10, 0.7514182, 0.7197847, 0.0420985
Pearson Correlation - PWC,    kNN, 10, 0.7549146, 0.7227221, 0.0426439
Pearson Correlation - IZ,    kNN, 10, 0.7516046, 0.7199632, 0.0420985
LiRa - Uniform,    kNN, 10, 0.7690016, 0.7287727, 0.0523132
LiRa - Gaussian,    kNN, 10, 0.7490674,   0.71731, 0.0423960
LiRa - LogGaussian,    kNN, 10, 0.7490674,   0.71731, 0.0423960
Cosine Similarity, NN-RST, 15, 0.7436235, 0.7122812, 0.0421481
Pearson Correlation - PWC, NN-RST, 15, 0.9398074, 0.8996838, 0.0426935
Pearson Correlation - IZ, NN-RST, 15, 1.3874163, 1.3290081, 0.0420985
LiRa - Uniform, NN-RST, 15, 0.7628305, 0.7228866, 0.0523628
LiRa - Gaussian, NN-RST, 15,  0.746696, 0.7150391, 0.0423960
LiRa - LogGaussian, NN-RST, 15, 0.9738052, 0.9325198, 0.0423960
Cosine Similarity,    kNN, 15, 0.7462462, 0.7148304, 0.0420985
Pearson Correlation - PWC,    kNN, 15, 0.7469396, 0.7150871, 0.0426439
Pearson Correlation - IZ,    kNN, 15, 0.7460874, 0.7146783, 0.0420985
LiRa - Uniform,    kNN, 15, 0.7618332, 0.7219793, 0.0523132
LiRa - Gaussian,    kNN, 15, 0.7450553,  0.713468, 0.0423960
LiRa - LogGaussian,    kNN, 15, 0.7450553,  0.713468, 0.0423960
Cosine Similarity, NN-RST, 20, 0.7420744, 0.7107974, 0.0421481
Pearson Correlation - PWC, NN-RST, 20, 0.9787101, 0.9369256, 0.0426935
Pearson Correlation - IZ, NN-RST, 20, 1.3888728, 1.3304034, 0.0420985
LiRa - Uniform, NN-RST, 20, 0.7600098, 0.7202136, 0.0523628
LiRa - Gaussian, NN-RST, 20, 0.7433359, 0.7118214, 0.0423960
LiRa - LogGaussian, NN-RST, 20, 1.0087498, 0.9659828, 0.0423960
Cosine Similarity,    kNN, 20, 0.7451198, 0.7137514, 0.0420985
Pearson Correlation - PWC,    kNN, 20, 0.7465933, 0.7147556, 0.0426439
Pearson Correlation - IZ,    kNN, 20, 0.7443744, 0.7130373, 0.0420985
LiRa - Uniform,    kNN, 20, 0.7587317,   0.71904, 0.0523132
LiRa - Gaussian,    kNN, 20, 0.7433842, 0.7118677, 0.0423960
LiRa - LogGaussian,    kNN, 20, 0.7433842, 0.7118677, 0.0423960

Cosine Similarity, NN-RST, 30, 0.7410866, 0.7098512, 0.0421481
Pearson Correlation - PWC, NN-RST, 30, 1.0596768, 1.0144355, 0.0426935
Pearson Correlation - IZ, NN-RST, 30, 1.3909565, 1.3323994, 0.0420985
LiRa - Uniform, NN-RST, 30, 0.7568829, 0.7172504, 0.0523628
LiRa - Gaussian, NN-RST, 30, 0.7415218, 0.7100842, 0.0423960
LiRa - LogGaussian, NN-RST, 30, 1.0757071, 1.0301015, 0.0423960
Cosine Similarity,    kNN, 30, 0.7447631, 0.7134097, 0.0420985
Pearson Correlation - PWC,    kNN, 30, 0.7448788, 0.7131142, 0.0426439
Pearson Correlation - IZ,    kNN, 30, 0.7440056, 0.7126841, 0.0420985
LiRa - Uniform,    kNN, 30, 0.7547873,  0.715302, 0.0523132
LiRa - Gaussian,    kNN, 30, 0.7444542, 0.7128924, 0.0423960
LiRa - LogGaussian,    kNN, 30, 0.7444542, 0.7128924, 0.0423960
Cosine Similarity, NN-RST, 40, 0.7406778, 0.7094597, 0.0421481
Pearson Correlation - PWC, NN-RST, 40, 1.1275091, 1.0793717, 0.0426935
Pearson Correlation - IZ, NN-RST, 40, 1.3926364, 1.3340085, 0.0420985
LiRa - Uniform, NN-RST, 40, 0.7556549, 0.7160867, 0.0523628
LiRa - Gaussian, NN-RST, 40, 0.7404024, 0.7090123, 0.0423960
LiRa - LogGaussian, NN-RST, 40, 1.1283885, 1.0805494, 0.0423960
Cosine Similarity,    kNN, 40, 0.7447717, 0.7134179, 0.0420985
Pearson Correlation - PWC,    kNN, 40, 0.7449899, 0.7132206, 0.0426439
Pearson Correlation - IZ,    kNN, 40, 0.7444514, 0.7131111, 0.0420985
LiRa - Uniform,    kNN, 40, 0.7532013, 0.7137989, 0.0523132
LiRa - Gaussian,    kNN, 40, 0.7443725, 0.7128141, 0.0423960
LiRa - LogGaussian,    kNN, 40, 0.7443725, 0.7128141, 0.0423960
Cosine Similarity, NN-RST, 50, 0.7410029,  0.709771, 0.0421481
Pearson Correlation - PWC, NN-RST, 50, 1.1799987, 1.1296204, 0.0426935
Pearson Correlation - IZ, NN-RST, 50, 1.3937782, 1.3351022, 0.0420985
LiRa - Uniform, NN-RST, 50, 0.7549659, 0.7154338, 0.0523628
LiRa - Gaussian, NN-RST, 50,  0.739878, 0.7085102, 0.0423960
LiRa - LogGaussian, NN-RST, 50, 1.1695303, 1.1199469, 0.0423960
Cosine Similarity,    kNN, 50, 0.7457226, 0.7143288, 0.0420985
Pearson Correlation - PWC,    kNN, 50, 0.7452981, 0.7135156, 0.0426439
Pearson Correlation - IZ,    kNN, 50,  0.745266, 0.7138914, 0.0420985
LiRa - Uniform,    kNN, 50, 0.7523537, 0.7129957, 0.0523132
LiRa - Gaussian,    kNN, 50, 0.7448582, 0.7132792, 0.0423960
LiRa - LogGaussian,    kNN, 50, 0.7448582, 0.7132792, 0.0423960
Cosine Similarity, NN-RST, 60, 0.7412769, 0.7100335, 0.0421481
Pearson Correlation - PWC, NN-RST, 60, 1.2252503, 1.1729401, 0.0426935
Pearson Correlation - IZ, NN-RST, 60, 1.3946648, 1.3359515, 0.0420985
LiRa - Uniform, NN-RST, 60, 0.7547581, 0.7152369, 0.0523628
LiRa - Gaussian, NN-RST, 60, 0.7397861, 0.7084222, 0.0423960
LiRa - LogGaussian, NN-RST, 60, 1.2018535, 1.1508998, 0.0423960
Cosine Similarity,    kNN, 60, 0.7463696, 0.7149486, 0.0420985
Pearson Correlation - PWC,    kNN, 60, 0.7459992, 0.7141869, 0.0426439
Pearson Correlation - IZ,    kNN, 60, 0.7461082, 0.7146982, 0.0420985
