Similarity,k,error,err_type,nbhd_type
cosine,15,0.9709701693334638,RMSE,weighted
cosine,20,0.9675454257031473,RMSE,weighted
cosine,30,0.9653289629521745,RMSE,weighted
cosine,40,0.9651430660338806,RMSE,weighted
cosine,50,0.9654273591542082,RMSE,weighted
cosine,60,0.9656783026997366,RMSE,weighted
cosine,80,0.9663095102212402,RMSE,weighted
cosine,160,0.9673722584603438,RMSE,weighted
lira_gaussian_pc_sd4,3,0.9811070623107608,RMSE,weighted
lira_gaussian_pc_sd4,5,0.9539923365895335,RMSE,weighted
lira_gaussian_pc_sd4,7,0.9444831922729702,RMSE,weighted
lira_gaussian_pc_sd4,10,0.9388080141293639,RMSE,weighted
lira_gaussian_pc_sd4,15,0.9371124084075068,RMSE,weighted
lira_gaussian_pc_sd4,20,0.938060910157592,RMSE,weighted
lira_gaussian_pc_sd4,30,0.9412840304842206,RMSE,weighted
lira_gaussian_pc_sd4,40,0.9442994425209988,RMSE,weighted
lira_gaussian_pc_sd4,50,0.946569114394899,RMSE,weighted
lira_gaussian_pc_sd4,60,0.9483893773662004,RMSE,weighted
lira_gaussian_pc_sd4,80,0.9512116436776197,RMSE,weighted
lira_gaussian_pc_sd4,160,0.955309906300726,RMSE,weighted
lira_uniform,3,0.9842409924548553,RMSE,weighted
lira_uniform,5,0.9563989639572235,RMSE,weighted
lira_uniform,7,0.9465694062930562,RMSE,weighted
lira_uniform,10,0.940191169936747,RMSE,weighted
lira_uniform,15,0.9380126170599464,RMSE,weighted
lira_uniform,20,0.9383817196709453,RMSE,weighted
lira_uniform,30,0.9411591276149257,RMSE,weighted
lira_uniform,40,0.9439402889959665,RMSE,weighted
lira_uniform,50,0.9461228201770749,RMSE,weighted
lira_uniform,60,0.9478837586775197,RMSE,weighted
lira_uniform,80,0.9505634747908747,RMSE,weighted
lira_uniform,160,0.9546372816290788,RMSE,weighted
pearson_pwc,3,1.060566938958907,RMSE,weighted
pearson_pwc,5,1.0131566854183727,RMSE,weighted
pearson_pwc,7,0.9943132915751776,RMSE,weighted
pearson_pwc,10,0.9809626555191564,RMSE,weighted
pearson_pwc,15,0.9715869468498162,RMSE,weighted
pearson_pwc,20,0.9678030279195731,RMSE,weighted
pearson_pwc,30,0.9653718296486273,RMSE,weighted
pearson_pwc,40,0.9648771859087291,RMSE,weighted
pearson_pwc,50,0.964895983666504,RMSE,weighted
pearson_pwc,60,0.9650779481091579,RMSE,weighted
pearson_pwc,80,0.9656478079492851,RMSE,weighted
pearson_pwc,160,0.9667365221756758,RMSE,weighted
cosine,3,1.0553073607301833,RMSE,unweighted
cosine,5,1.0110810006334503,RMSE,unweighted
cosine,7,0.9930718691013688,RMSE,unweighted
cosine,10,0.9800524984283194,RMSE,unweighted
cosine,15,0.9713652568908392,RMSE,unweighted
cosine,20,0.9680147492119924,RMSE,unweighted
cosine,30,0.9658955305932571,RMSE,unweighted
